15533	12	14|
16041	12	13|
6984	12	12|
7858	12	12|
7861	12	12|
6964	12	11|
7860	12	11|
8005	12	11|
15192	12	11|
16338	12	11|
6971	12	10|
7859	12	10|
7888	12	10|
7993	12	10|
14796	12	10|
16069	12	10|
16249	12	10|
16737	12	10|
6965	12	9|
6967	12	9|
7878	12	9|
15741	12	9|
6970	12	8|
6973	12	8|
7864	12	8|
7865	12	8|
7880	12	8|
16025	12	8|
16660	12	8|
6963	12	7|
6969	12	7|
6972	12	7|
6983	12	7|
14742	12	7|
15715	12	7|
16525	12	7|
6968	12	6|
6977	12	6|
6985	12	6|
7887	12	6|
16495	12	6|
6966	12	5|
6975	12	5|
6981	12	5|
6855	12	2|
7337	12	2|
7340	12	2|
7342	12	2|
7344	12	2|
7346	12	2|
7348	12	2|
7350	12	2|
7352	12	2|
7354	12	2|
7356	12	2|
7359	12	2|
7361	12	2|
7363	12	2|
7365	12	2|
7367	12	2|
7369	12	2|
7371	12	2|
7373	12	2|
7375	12	2|
7377	12	2|
7379	12	2|
7381	12	2|
7383	12	2|
7385	12	2|
7387	12	2|
7389	12	2|
7391	12	2|
7393	12	2|
7396	12	2|
7398	12	2|
7400	12	2|
7403	12	2|
7405	12	2|
7407	12	2|
7409	12	2|
7411	12	2|
7414	12	2|
7416	12	2|
7419	12	2|
7421	12	2|
7423	12	2|
7426	12	2|
7428	12	2|
7430	12	2|
7432	12	2|
7435	12	2|
7439	12	2|
7441	12	2|
7443	12	2|
7445	12	2|
7447	12	2|
7450	12	2|
7453	12	2|
7455	12	2|
7458	12	2|
7460	12	2|
7462	12	2|
7464	12	2|
7473	12	2|
7475	12	2|
7478	12	2|
7673	12	2|
17247	12	2|
14576	12	2|
14634	12	2|
15547	12	2|
15900	12	2|
16255	12	2|
16609	12	2|
16959	12	2|
1747	2	11|
1984	2	11|
6338	2	11|
184	2	10|
1257	2	10|
3368	2	10|
556	2	9|
1350	2	9|
1460	2	9|
1703	2	9|
2099	2	9|
5365	2	9|
44	2	8|
338	2	8|
2061	2	8|
2282	2	8|
2350	2	8|
247	2	7|
377	2	7|
523	2	7|
1085	2	7|
1089	2	7|
2510	2	7|
317	2	6|
570	2	6|
609	2	6|
795	2	6|
868	2	6|
1427	2	6|
2136	2	6|
2449	2	6|
5019	2	6|
1736	2	5|
3684	2	5|
3743	2	5|
4952	2	4|
132	2	3|
121	2	2|
1703	6	10|
523	6	9|
2522	6	8|
1089	6	7|
1453	6	7|
3793	6	7|
184	6	6|
1736	6	6|
2340	6	6|
1747	6	5|
377	6	4|
1944	6	2|
1179	9	12|
906	9	11|
247	9	8|
1747	9	8|
609	9	7|
2136	9	6|
247	10	9|
1798	10	9|
2510	10	8|
3743	10	7|
1736	10	6|
2510	11	9|
1089	11	7|
1736	11	6|
377	11	2|
6931	12	2|
6927	12	2|
6897	12	2|
6901	12	2|
6905	12	2|
